,count,mean,std,min,25%,50%,75%,max
char_count,9682.0,1827.7303243131585,324.8312542742955,627.0,1623.0,1788.0,1996.0,9968.0
word_count,9682.0,299.3437306341665,51.33451792458441,98.0,267.0,292.0,324.0,1572.0
unique_word_count,9682.0,163.6486263168767,26.584431796014606,11.0,146.0,162.0,179.0,657.0
sentence_count,9682.0,14.401363354678786,3.489951961576844,1.0,12.0,14.0,16.0,74.0
paragraph_count,9682.0,2.0057839289403017,3.714138183485661,1.0,1.0,1.0,1.0,37.0
avg_sentence_len,9682.0,21.762624507127274,8.681517057879228,4.653846153846154,18.4375,20.916666666666668,23.642857142857142,308.0
sentence_len_std,9682.0,8.110648580716276,3.75965087289869,0.0,6.115238967407101,7.467372817291693,9.18613084304698,124.40346547513145
avg_paragraph_len,9682.0,261.3720468983293,100.18803030546428,8.583333333333334,252.0,283.0,318.0,1572.0
paragraph_len_std,9682.0,3.986041327905531,11.372158123811522,0.0,0.0,0.0,0.0,151.0
paragraph_len_cv,9682.0,0.06241311211709253,0.16380920807907126,0.0,0.0,0.0,0.0,1.7846676951071894
prompt_word_count,9682.0,32.871101012187566,9.083898528967564,7.0,27.0,33.0,37.0,99.0
prompt_overlap,9682.0,0.5259113652291779,0.1714480159316505,0.0,0.4166666666666667,0.5333333333333333,0.6363636363636364,1.0
prompt_bigram_overlap,9682.0,0.13143839221371478,0.1388333070753152,0.0,0.0,0.09090909090909091,0.18181818181818182,1.0
intro_prompt_overlap,9682.0,0.1924794730203022,0.16138192826241887,0.0,0.07407407407407407,0.16666666666666666,0.2727272727272727,1.0
body_prompt_overlap,9682.0,0.4401690535111483,0.17291482031616048,0.0,0.3333333333333333,0.44,0.5555555555555556,1.0
conclusion_prompt_overlap,9682.0,0.12701040613027129,0.1218145539866359,0.0,0.0,0.1,0.19047619047619047,0.9047619047619048
intro_thesis_signal,9682.0,0.07477793844247056,0.2630462791240768,0.0,0.0,0.0,0.0,1.0
conclusion_signal,9682.0,0.3900020656889073,0.48777559225722733,0.0,0.0,0.0,1.0,1.0
has_intro_body_conclusion,9682.0,0.16060731253873167,0.36718732165082224,0.0,0.0,0.0,0.0,1.0
adjacent_sentence_overlap_mean,9682.0,0.03240503845165265,0.02223634578773475,0.0,0.016645828816214212,0.027760274440288953,0.042944898721992385,0.19501829439909932
adjacent_sentence_overlap_std,9682.0,0.03890731609130296,0.018757217236759348,0.0,0.026265068594449464,0.03613574893159034,0.04795772643447656,0.24944382578492946
intro_body_jaccard,9682.0,0.04252933870949501,0.030492924878945837,0.0,0.02142857142857143,0.036036036036036036,0.056179775280898875,0.625
body_conclusion_jaccard,9682.0,0.04942066626779624,0.035426999699190165,0.0,0.023622047244094488,0.0425531914893617,0.06796116504854369,0.375
intro_conclusion_jaccard,9682.0,0.05849635921632331,0.06714863708511634,0.0,0.0,0.045454545454545456,0.09090909090909091,0.875
connective_count,9682.0,18.359739723197688,5.683688076252582,0.0,14.0,18.0,22.0,49.0
connective_per_sentence,9682.0,1.3332912018375092,0.6228310492488955,0.0,1.0,1.2666666666666666,1.5454545454545454,20.0
transition_sentence_start_ratio,9682.0,0.24062821535655632,0.12460054104538588,0.0,0.15384615384615385,0.23529411764705882,0.3333333333333333,0.8235294117647058
sentence_start_repetition_ratio,9682.0,0.33697848234420513,0.1730019682654391,0.0,0.21428571428571427,0.3333333333333333,0.46153846153846156,1.0
additive_connective_count,9682.0,2.2405494732493287,1.7577946373418285,0.0,1.0,2.0,3.0,12.0
contrastive_connective_count,9682.0,2.889175790126007,1.7691384351974269,0.0,2.0,3.0,4.0,13.0
causal_connective_count,9682.0,9.164945259243957,3.9696657666657598,0.0,6.0,9.0,12.0,30.0
temporal_connective_count,9682.0,1.292604833712043,1.4721899680208752,0.0,0.0,1.0,2.0,11.0
exemplification_connective_count,9682.0,1.8988845279900848,1.2647643887637896,0.0,1.0,2.0,3.0,8.0
conclusive_connective_count,9682.0,0.8735798388762652,0.4768433504930805,0.0,1.0,1.0,1.0,5.0
type_token_ratio,9682.0,0.5499003015729609,0.05581978146868283,0.03832752613240418,0.5149501661129569,0.5513217238218826,0.5866141732283464,0.7964601769911505
root_ttr,9682.0,9.454976561502416,1.0069239600634392,0.6493094697110509,8.808127082755444,9.468428314049468,10.102434856565651,16.570632995229705
lexical_density,9682.0,0.5050197514119982,0.044559442284779614,0.2787456445993031,0.47560975609756095,0.5036496350364964,0.5326460481099656,0.7051792828685259
top_content_word_ratio,9682.0,0.04366668579088293,0.0181192722648925,0.0106951871657754,0.03048780487804878,0.04020100502512563,0.05309734513274336,0.25
content_repetition_ratio,9682.0,0.19325598038772057,0.09207096896116822,0.0,0.12698412698412698,0.18435754189944134,0.25,1.0
bigram_diversity,9682.0,0.9169522540193937,0.04290019032049941,0.055944055944055944,0.8971252204585538,0.9230769230769231,0.9452054794520548,1.0
trigram_diversity,9682.0,0.9789140596986935,0.027350989369923816,0.06289308176100629,0.9723103540058557,0.9845718683550732,0.9928057553956835,1.0
academic_word_ratio,9682.0,0.01608858268972227,0.01154738548557227,0.0,0.0076045627376425855,0.013888888888888888,0.02181818181818182,0.10714285714285714
long_word_ratio,9682.0,0.272680798333675,0.052713151183971504,0.0916030534351145,0.23809523809523808,0.2692307692307692,0.30303030303030304,0.5246478873239436
avg_word_len,9682.0,4.991937214380888,0.31987025339470204,3.275261324041812,4.783608552979782,4.9700374531835205,5.164501155129631,6.6571428571428575
avg_content_word_len,9682.0,6.9655444699912,0.3799028378826633,5.355769230769231,6.711285755771744,6.9541984732824424,7.207273519163763,8.731958762886597
lexical_chain_count,9682.0,22.74220202437513,6.80368341950201,4.0,18.0,22.0,27.0,167.0
avg_lexical_chain_size,9682.0,2.76429104075674,0.42731129161294173,2.0,2.4814814814814814,2.7142857142857144,3.0,16.0
num_large_lexical_chains,9682.0,3.777938442470564,2.4225332299928426,0.0,2.0,3.0,5.0,41.0
lexical_chain_coverage,9682.0,0.415274210220695,0.1034783049560604,0.058394160583941604,0.3448275862068966,0.4117647058823529,0.48223350253807107,1.0
comma_per_sentence,9682.0,1.1934562608679904,0.6375428191366711,0.0,0.8947368421052632,1.1333333333333333,1.4166666666666667,38.0
semicolon_colon_per_sentence,9682.0,0.01329041566232747,0.045142988155539444,0.0,0.0,0.0,0.0,0.7058823529411765
subordinator_ratio,9682.0,0.03784022583551484,0.01365619423401991,0.0,0.02830188679245283,0.03690036900369004,0.04666666666666667,0.10526315789473684
complex_sentence_ratio,9682.0,0.5172329408741294,0.19633811710128551,0.0,0.375,0.5,0.6666666666666666,1.0
very_long_sentence_ratio,9682.0,0.0923057029569339,0.12388360642640509,0.0,0.0,0.06666666666666667,0.14285714285714285,1.0
very_short_sentence_ratio,9682.0,0.006838391939330309,0.030075326543815728,0.0,0.0,0.0,0.0,0.7884615384615384
repeated_word_error_per_100,9682.0,0.006532241885855836,0.04901063784327035,0.0,0.0,0.0,0.0,0.7017543859649122
lowercase_i_per_100,9682.0,0.01246591466379892,0.09512670919350827,0.0,0.0,0.0,0.0,2.6717557251908395
informal_word_ratio,9682.0,0.001119422982935265,0.002929927893099776,0.0,0.0,0.0,0.0,0.039285714285714285
simple_sva_error_per_100,9682.0,0.011427804920073765,0.06677471354285458,0.0,0.0,0.0,0.0,1.0067114093959733
comma_splice_proxy,9682.0,0.703470357364181,0.9330254296812236,0.0,0.0,0.0,1.0,7.0
run_on_sentence_ratio,9682.0,0.0923057029569339,0.12388360642640509,0.0,0.0,0.06666666666666667,0.14285714285714285,1.0
flesch_reading_ease_proxy,9682.0,33.893668922441,12.78224809455974,-251.13672131147538,27.661906296828178,34.66101923799026,41.21221103680023,87.40541011394672
flesch_kincaid_grade_proxy,9682.0,13.93828352223984,3.5456160700880055,2.6373651002919303,12.394631839365386,13.724712143574607,15.143791125541126,124.05836065573772
