,missing_count,missing_pct,dtype,n_unique
readability_score,1666,17.207188597397234,float64,7727
prompt_relevance,1666,17.207188597397234,float64,8000
lexical_diversity,1304,13.468291675273703,float64,4715
evaluation,362,3.738896922123528,object,9320
prompt,0,0.0,object,3575
essay,0,0.0,object,9681
essay_len,0,0.0,int64,370
GRA,0,0.0,float64,18
TR,0,0.0,float64,18
CC,0,0.0,float64,18
LR,0,0.0,float64,18
overall_raw,0,0.0,float64,64
parse_quality,0,0.0,object,2
n_found,0,0.0,int64,1
band,0,0.0,float64,19
target_text,0,0.0,object,9682
source,0,0.0,object,3
source_file,0,0.0,object,1
split,0,0.0,object,1
