target_band_rounded,count,ratio
0.0,5,0.000516422226812642
0.5,4,0.0004131377814501136
1.0,14,0.0014459822350753977
1.5,27,0.002788680024788267
2.0,50,0.00516422226812642
2.5,240,0.02478826688700682
3.0,352,0.03635612476761
3.5,457,0.04720099153067548
4.0,543,0.056083453831852925
4.5,299,0.030882049163395993
5.0,368,0.038008675893410455
5.5,886,0.09151001859120017
6.0,1604,0.16566825036149557
6.5,1516,0.15657921916959305
7.0,1349,0.13933071679405082
7.5,849,0.08768849411278662
8.0,644,0.06651518281346828
8.5,234,0.024168560214831648
9.0,241,0.024891551332369345
