band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc
high_ge7,social media,2,376,196,0.05908953873982514,0.11335544166415436
high_ge7,climate change,2,361,138,0.0416038589086524,0.10883328308712692
high_ge7,long term,2,267,223,0.06722942417847452,0.08049442267108833
high_ge7,global warming,2,217,150,0.045221585770274346,0.06542056074766354
high_ge7,high school,2,211,122,0.03678022309315647,0.06361169731685258
high_ge7,even though,2,191,180,0.054265902924329215,0.05758215254748267
high_ge7,recent years,2,185,184,0.055471811878203194,0.05577328911667169
high_ge7,higher education,2,166,112,0.03376545070847151,0.05004522158577027
high_ge7,first foremost,2,154,153,0.04612601748567983,0.046427494724148324
high_ge7,public transport,2,153,88,0.026529996985227615,0.04612601748567983
high_ge7,several reasons,2,152,148,0.04461863129333735,0.04582454024721134
high_ge7,human beings,2,149,133,0.040096472716309915,0.04492010853180585
high_ge7,artificial intelligence,2,148,92,0.027735905939101597,0.04461863129333735
high_ge7,environmental issues,2,138,110,0.03316249623153452,0.0416038589086524
high_ge7,environmental problems,2,129,93,0.028037383177570093,0.03889056376243594
high_ge7,job opportunities,2,126,117,0.03527283690081399,0.03798613204703045
high_ge7,air pollution,2,125,97,0.029243292131444075,0.03768465480856195
high_ge7,another reason,2,125,125,0.03768465480856195,0.03768465480856195
high_ge7,economic growth,2,122,91,0.027434428700633104,0.03678022309315647
high_ge7,social skills,2,122,74,0.022309315646668677,0.03678022309315647
high_ge7,family members,2,117,75,0.022610792885137173,0.03527283690081399
high_ge7,mental health,2,116,99,0.029846246608381068,0.03497135966234549
high_ge7,computer games,2,115,38,0.011456135061802835,0.034669882423876995
high_ge7,well known,2,111,100,0.030147723846849564,0.03346397347000302
high_ge7,main reason,2,109,106,0.031956587277660535,0.032861018993066024
high_ge7,public transportation,2,107,74,0.022309315646668677,0.03225806451612903
high_ge7,negative effects,2,107,99,0.029846246608381068,0.03225806451612903
high_ge7,fossil fuels,2,105,70,0.021103406692794695,0.03165511003919204
high_ge7,public health,2,102,69,0.0208019294543262,0.030750678323786553
high_ge7,long run,2,102,99,0.029846246608381068,0.030750678323786553
high_ge7,amount money,2,101,88,0.026529996985227615,0.030449201085318057
high_ge7,hard work,2,100,78,0.02351522460054266,0.030147723846849564
high_ge7,developed countries,2,98,80,0.02411817907747965,0.02954476936991257
high_ge7,main reasons,2,98,92,0.027735905939101597,0.02954476936991257
high_ge7,video games,2,98,55,0.01658124811576726,0.02954476936991257
high_ge7,carbon dioxide,2,93,79,0.023816701839011155,0.028037383177570093
high_ge7,increasing number,2,90,90,0.027132951462164608,0.027132951462164608
high_ge7,negative impact,2,90,86,0.025927042508290626,0.027132951462164608
high_ge7,developing countries,2,90,73,0.02200783840820018,0.027132951462164608
high_ge7,wide range,2,90,86,0.025927042508290626,0.027132951462164608
high_ge7,negative impacts,2,90,82,0.02472113355441664,0.027132951462164608
high_ge7,face face,2,89,69,0.0208019294543262,0.02683147422369611
high_ge7,children learn,2,88,66,0.019897497738920713,0.026529996985227615
high_ge7,history house,2,87,67,0.020198974977389206,0.02622851974675912
high_ge7,team sports,2,87,28,0.008441362677117878,0.02622851974675912
high_ge7,every day,2,84,78,0.02351522460054266,0.025324088031353633
high_ge7,advantages disadvantages,2,84,80,0.02411817907747965,0.025324088031353633
high_ge7,health problems,2,82,70,0.021103406692794695,0.02472113355441664
high_ge7,vital role,2,81,81,0.024419656315948148,0.024419656315948148
high_ge7,young generation,2,81,65,0.019596020500452217,0.024419656315948148
